episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-138,0,39,0,0
1,-106,0,7,0,0
2,-123,0,24,0,0
3,-101,0,2,0,0
4,-115,0,16,0,0
5,-108,0,9,0,0
6,-100,0,100,0,0
7,-101,0,2,0,0
8,-113,0,14,0,0
9,-108,0,9,0,0
10,-100,0,100,0,0
11,-110,0,11,0,0
12,-112,0,13,0,0
13,-108,0,9,0,0
14,-105,0,6,0,0
15,-101,0,2,0,0
16,-151,0,52,0,0
17,-104,0,5,0,0
18,-176,0,77,0,0
19,-132,0,33,0,0
20,-107,0,8,0,0
21,-105,0,6,0,0
22,-179,0,80,0,0
23,-118,0,19,0,0
24,-179,0,80,0,0
25,-109,0,10,0,0
26,-166,0,67,0,0
27,-133,0,34,0,0
28,-103,0,4,0,0
29,-163,0,64,0,0
30,-129,0,30,0,0
31,-130,0,31,0,0
32,-114,0,15,0,0
33,-120,0,21,0,0
34,-106,0,7,0,0
35,-115,0,16,0,0
36,-103,0,4,0,0
37,-102,0,3,0,0
38,-109,0,10,0,0
39,-129,0,30,0,0
40,-109,0,10,0,0
41,-129,0,30,0,0
42,-36,0,38,1,0
43,-186,0,87,0,0
44,-169,0,70,0,0
45,-160,0,61,0,0
46,-179,0,80,0,0
47,-109,0,10,0,0
48,-114,0,15,0,0
49,-126,0,27,0,0
50,-114,0,15,0,0
51,-165,0,66,0,0
52,-112,0,13,0,0
53,-160,0,61,0,0
54,-103,0,4,0,0
55,-131,0,32,0,0
56,-107,0,8,0,0
57,-113,0,14,0,0
58,-135,0,36,0,0
59,-106,0,7,0,0
60,-135,0,36,0,0
61,-107,0,8,0,0
62,-136,0,37,0,0
63,-126,0,27,0,0
64,-115,0,16,0,0
65,-128,0,29,0,0
66,-104,0,5,0,0
67,-139,0,40,0,0
68,-111,0,12,0,0
69,-114,0,15,0,0
70,-117,0,18,0,0
71,-116,0,17,0,0
72,-111,0,12,0,0
73,-104,0,5,0,0
74,-130,0,31,0,0
75,-112,0,13,0,0
76,-111,0,12,0,0
77,-164,0,65,0,0
78,-105,0,6,0,0
79,-105,0,6,0,0
80,-123,0,24,0,0
81,-119,0,20,0,0
82,-134,0,35,0,0
83,-111,0,12,0,0
84,-103,0,4,0,0
85,-101,0,2,0,0
86,-102,0,3,0,0
87,-104,0,5,0,0
88,-111,0,12,0,0
89,-106,0,7,0,0
90,-110,0,11,0,0
91,-105,0,6,0,0
92,-128,0,29,0,0
93,-117,0,18,0,0
94,-123,0,24,0,0
95,-125,0,26,0,0
96,-103,0,4,0,0
97,-19,0,21,1,0
98,-101,0,2,0,0
99,-124,0,25,0,0
