episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-166,0,67,0,0
1,-104,0,5,0,0
2,-105,0,6,0,0
3,-200,0,200,0,0
4,-263,0,164,0,0
5,-172,0,73,0,0
6,-266,0,167,0,0
7,-115,0,16,0,0
8,-239,0,140,0,0
9,-158,0,59,0,0
10,-109,0,10,0,0
11,-157,0,58,0,0
12,-231,0,132,0,0
13,-200,0,200,0,0
14,-113,0,14,0,0
15,-120,0,21,0,0
16,-171,0,72,0,0
17,-112,0,13,0,0
18,-147,0,48,0,0
19,-120,0,21,0,0
20,-133,0,34,0,0
21,-184,0,85,0,0
22,-112,0,13,0,0
23,-174,0,75,0,0
24,-200,0,200,0,0
25,-219,0,120,0,0
26,-159,0,60,0,0
27,-200,0,200,0,0
28,-184,0,85,0,0
29,-292,0,193,0,0
30,-174,0,75,0,0
31,-129,0,30,0,0
32,-149,0,50,0,0
33,-181,0,82,0,0
34,-188,0,89,0,0
35,-245,0,146,0,0
36,-114,0,15,0,0
37,-148,0,49,0,0
38,-200,0,200,0,0
39,-169,0,70,0,0
40,-164,0,65,0,0
41,-135,0,36,0,0
42,-200,0,200,0,0
43,-152,0,53,0,0
44,-104,0,5,0,0
45,-133,0,34,0,0
46,-235,0,136,0,0
47,-113,0,14,0,0
48,-177,0,78,0,0
49,-139,0,40,0,0
50,-203,0,104,0,0
51,-205,0,106,0,0
52,-108,0,9,0,0
53,-111,0,12,0,0
54,-174,0,75,0,0
55,-147,0,48,0,0
56,-195,0,96,0,0
57,-141,0,42,0,0
58,-174,0,75,0,0
59,-200,0,200,0,0
60,-142,0,43,0,0
61,-120,0,21,0,0
62,-120,0,21,0,0
63,-221,0,122,0,0
64,-122,0,23,0,0
65,-228,0,129,0,0
66,-148,0,49,0,0
67,-125,0,26,0,0
68,-222,0,123,0,0
69,-124,0,25,0,0
70,-172,0,73,0,0
71,-154,0,55,0,0
72,-200,0,200,0,0
73,-145,0,46,0,0
74,-243,0,144,0,0
75,-166,0,67,0,0
76,-118,0,19,0,0
77,-121,0,22,0,0
78,-168,0,69,0,0
79,-226,0,127,0,0
80,-122,0,23,0,0
81,-188,0,89,0,0
82,-215,0,116,0,0
83,-166,0,67,0,0
84,-219,0,120,0,0
85,-170,0,71,0,0
86,-174,0,75,0,0
87,-291,0,192,0,0
88,-127,0,28,0,0
89,-107,0,8,0,0
90,-121,0,22,0,0
91,-111,0,12,0,0
92,-200,0,200,0,0
93,-150,0,51,0,0
94,-175,0,76,0,0
95,-124,0,25,0,0
96,-108,0,9,0,0
97,-200,0,200,0,0
98,-164,0,65,0,0
99,-200,0,200,0,0
100,-230,0,131,0,0
101,-239,0,140,0,0
102,-139,0,40,0,0
103,-175,0,76,0,0
104,-108,0,9,0,0
105,-211,0,112,0,0
106,-183,0,84,0,0
107,-290,0,191,0,0
108,301,1,200,0,0
109,-210,0,111,0,0
110,-168,0,69,0,0
111,-256,0,157,0,0
112,-147,0,48,0,0
113,-144,0,45,0,0
114,-127,0,28,0,0
115,-153,0,54,0,0
116,-112,0,13,0,0
117,-200,0,200,0,0
118,-227,0,128,0,0
119,-111,0,12,0,0
120,-200,0,200,0,0
121,-189,0,90,0,0
122,-197,0,98,0,0
123,-200,0,200,0,0
124,-200,0,200,0,0
125,-268,0,169,0,0
126,-147,0,48,0,0
127,-123,0,24,0,0
128,-146,0,47,0,0
129,-200,0,200,0,0
130,-138,0,39,0,0
131,-194,0,95,0,0
132,-148,0,49,0,0
133,-113,0,14,0,0
134,-200,0,200,0,0
135,-157,0,58,0,0
136,-155,0,56,0,0
137,-200,0,200,0,0
138,-203,0,104,0,0
139,-123,0,24,0,0
140,-173,0,74,0,0
141,-198,0,99,0,0
142,-200,0,200,0,0
143,-185,0,86,0,0
144,-133,0,34,0,0
145,-158,0,59,0,0
146,-142,0,43,0,0
147,-102,0,3,0,0
148,-112,0,13,0,0
149,-110,0,11,0,0
150,-146,0,47,0,0
151,-200,0,200,0,0
152,-275,0,176,0,0
153,-145,0,46,0,0
154,-121,0,22,0,0
155,-115,0,16,0,0
156,-138,0,39,0,0
157,-151,0,52,0,0
158,-226,0,127,0,0
159,-123,0,24,0,0
160,-103,0,4,0,0
161,-178,0,79,0,0
162,-160,0,61,0,0
163,-200,0,200,0,0
164,-261,0,162,0,0
165,-258,0,159,0,0
166,-200,0,200,0,0
167,-159,0,60,0,0
168,-111,0,12,0,0
169,-102,0,3,0,0
170,-182,0,83,0,0
171,-161,0,62,0,0
172,-148,0,49,0,0
173,-120,0,21,0,0
174,-200,0,200,0,0
175,-110,0,11,0,0
176,-122,0,23,0,0
177,-120,0,21,0,0
178,-136,0,37,0,0
179,-292,0,193,0,0
180,-125,0,26,0,0
181,-136,0,37,0,0
182,-280,0,181,0,0
183,-122,0,23,0,0
184,-197,0,98,0,0
