episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-135,0,36,0,0
1,-166,0,67,0,0
2,-102,0,3,0,0
3,-126,0,27,0,0
4,-163,0,64,0,0
5,-112,0,13,0,0
6,-107,0,8,0,0
7,-149,0,50,0,0
8,-144,0,45,0,0
9,-117,0,18,0,0
10,-101,0,2,0,0
11,-103,0,4,0,0
12,-101,0,2,0,0
13,-108,0,9,0,0
14,-121,0,22,0,0
15,-146,0,47,0,0
16,-133,0,34,0,0
17,-135,0,36,0,0
18,-101,0,2,0,0
19,-100,0,100,0,0
20,-120,0,21,0,0
21,-149,0,50,0,0
22,-121,0,22,0,0
23,-138,0,39,0,0
24,-116,0,17,0,0
25,-101,0,2,0,0
26,-152,0,53,0,0
27,-168,0,69,0,0
28,-125,0,26,0,0
29,-169,0,70,0,0
30,-133,0,34,0,0
31,-123,0,24,0,0
32,-148,0,49,0,0
33,-116,0,17,0,0
34,-131,0,32,0,0
35,-115,0,16,0,0
36,339,1,63,0,0
37,-129,0,30,0,0
38,-115,0,16,0,0
39,-145,0,46,0,0
40,-127,0,28,0,0
41,-111,0,12,0,0
42,-106,0,7,0,0
43,-119,0,20,0,0
44,-121,0,22,0,0
45,-111,0,12,0,0
46,-114,0,15,0,0
47,-104,0,5,0,0
48,-159,0,60,0,0
49,-172,0,73,0,0
50,-100,0,100,0,0
51,-123,0,24,0,0
52,-151,0,52,0,0
53,-115,0,16,0,0
54,-112,0,13,0,0
55,-125,0,26,0,0
56,-107,0,8,0,0
57,-126,0,27,0,0
58,-100,0,100,0,0
59,-118,0,19,0,0
60,-102,0,3,0,0
61,-103,0,4,0,0
62,-179,0,80,0,0
63,-176,0,77,0,0
64,-117,0,18,0,0
65,-137,0,38,0,0
66,-135,0,36,0,0
67,-117,0,18,0,0
68,-112,0,13,0,0
69,-177,0,78,0,0
70,-170,0,71,0,0
71,-107,0,8,0,0
72,-105,0,6,0,0
73,-161,0,62,0,0
74,-104,0,5,0,0
75,-135,0,36,0,0
76,-116,0,17,0,0
77,-125,0,26,0,0
78,-102,0,3,0,0
79,-101,0,2,0,0
80,-137,0,38,0,0
81,-118,0,19,0,0
82,-101,0,2,0,0
83,-158,0,59,0,0
84,-114,0,15,0,0
85,-117,0,18,0,0
86,-132,0,33,0,0
87,-132,0,33,0,0
88,-169,0,70,0,0
89,-113,0,14,0,0
90,-179,0,80,0,0
91,-125,0,26,0,0
92,-120,0,21,0,0
93,-100,0,100,0,0
94,-100,0,100,0,0
95,-122,0,23,0,0
96,-100,0,100,0,0
97,-193,0,94,0,0
98,-136,0,37,0,0
99,-193,0,94,0,0
100,-160,0,61,0,0
101,-111,0,12,0,0
102,-125,0,26,0,0
103,-112,0,13,0,0
104,-117,0,18,0,0
105,-109,0,10,0,0
106,-154,0,55,0,0
107,-192,0,93,0,0
108,-116,0,17,0,0
109,-102,0,3,0,0
110,-100,0,100,0,0
111,-156,0,57,0,0
112,-103,0,4,0,0
113,-128,0,29,0,0
114,-120,0,21,0,0
115,-100,0,100,0,0
116,-129,0,30,0,0
117,358,1,44,0,0
118,-133,0,34,0,0
119,-100,0,100,0,0
120,-167,0,68,0,0
121,-103,0,4,0,0
122,-127,0,28,0,0
123,-108,0,9,0,0
124,-196,0,97,0,0
125,-106,0,7,0,0
126,-108,0,9,0,0
127,-100,0,100,0,0
128,-145,0,46,0,0
129,-100,0,100,0,0
130,-128,0,29,0,0
131,-124,0,25,0,0
132,-113,0,14,0,0
133,-102,0,3,0,0
134,-185,0,86,0,0
135,-114,0,15,0,0
136,-122,0,23,0,0
137,-101,0,2,0,0
138,-108,0,9,0,0
139,-110,0,11,0,0
140,-118,0,19,0,0
141,-112,0,13,0,0
142,-100,0,100,0,0
143,-160,0,61,0,0
144,-110,0,11,0,0
145,-133,0,34,0,0
146,-167,0,68,0,0
147,-102,0,3,0,0
148,-148,0,49,0,0
149,-111,0,12,0,0
150,-115,0,16,0,0
151,-101,0,2,0,0
152,-138,0,39,0,0
153,-118,0,19,0,0
154,-123,0,24,0,0
155,-145,0,46,0,0
156,-171,0,72,0,0
157,-177,0,78,0,0
158,338,1,64,0,0
159,-124,0,25,0,0
160,-140,0,41,0,0
161,-169,0,70,0,0
162,-102,0,3,0,0
163,-121,0,22,0,0
164,-108,0,9,0,0
165,-119,0,20,0,0
