episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-113,0,14,0,0
1,-125,0,26,0,0
2,-147,0,48,0,0
3,-124,0,25,0,0
4,-225,0,126,0,0
5,-228,0,129,0,0
6,-147,0,48,0,0
7,-200,0,200,0,0
8,-118,0,19,0,0
9,-126,0,27,0,0
10,-176,0,77,0,0
11,-117,0,18,0,0
12,-129,0,30,0,0
13,-153,0,54,0,0
14,-216,0,117,0,0
15,-107,0,8,0,0
16,-194,0,95,0,0
17,-135,0,36,0,0
18,-128,0,29,0,0
19,-108,0,9,0,0
20,-273,0,174,0,0
21,-128,0,29,0,0
22,-196,0,97,0,0
23,-148,0,49,0,0
24,-275,0,176,0,0
25,-147,0,48,0,0
26,-246,0,147,0,0
27,-147,0,48,0,0
28,-146,0,47,0,0
29,-102,0,3,0,0
30,-133,0,34,0,0
31,-171,0,72,0,0
32,-164,0,65,0,0
33,-135,0,36,0,0
34,-137,0,38,0,0
35,-155,0,56,0,0
36,-179,0,80,0,0
37,-124,0,25,0,0
38,-245,0,146,0,0
39,-128,0,29,0,0
40,-143,0,44,0,0
41,-121,0,22,0,0
42,-140,0,41,0,0
43,-116,0,17,0,0
44,-148,0,49,0,0
45,-268,0,169,0,0
46,-153,0,54,0,0
47,-157,0,58,0,0
48,-288,0,189,0,0
49,-153,0,54,0,0
50,-197,0,98,0,0
51,-127,0,28,0,0
52,-227,0,128,0,0
53,-139,0,40,0,0
54,-144,0,45,0,0
55,-259,0,160,0,0
56,-200,0,200,0,0
57,-200,0,200,0,0
58,-144,0,45,0,0
59,-147,0,48,0,0
60,301,1,200,0,0
61,-126,0,27,0,0
62,-120,0,21,0,0
63,-122,0,23,0,0
64,-200,0,200,0,0
65,-108,0,9,0,0
66,-144,0,45,0,0
67,-172,0,73,0,0
68,-130,0,31,0,0
69,-195,0,96,0,0
70,-153,0,54,0,0
71,-209,0,110,0,0
72,-159,0,60,0,0
73,-177,0,78,0,0
74,-154,0,55,0,0
75,-140,0,41,0,0
76,-149,0,50,0,0
77,-150,0,51,0,0
78,-147,0,48,0,0
79,-143,0,44,0,0
80,-113,0,14,0,0
81,-204,0,105,0,0
82,-130,0,31,0,0
83,-158,0,59,0,0
84,-116,0,17,0,0
85,-144,0,45,0,0
86,-242,0,143,0,0
87,-199,0,100,0,0
88,-191,0,92,0,0
89,-121,0,22,0,0
90,-208,0,109,0,0
91,-173,0,74,0,0
92,-200,0,200,0,0
93,-168,0,69,0,0
94,-147,0,48,0,0
95,-156,0,57,0,0
96,-136,0,37,0,0
97,-257,0,158,0,0
98,-143,0,44,0,0
99,-130,0,31,0,0
100,-119,0,20,0,0
101,-200,0,200,0,0
102,-190,0,91,0,0
103,-137,0,38,0,0
104,-138,0,39,0,0
105,-109,0,10,0,0
106,-132,0,33,0,0
107,-129,0,30,0,0
108,-107,0,8,0,0
109,-104,0,5,0,0
110,-114,0,15,0,0
111,-204,0,105,0,0
112,-125,0,26,0,0
113,-127,0,28,0,0
114,-155,0,56,0,0
115,-160,0,61,0,0
116,-200,0,200,0,0
117,-114,0,15,0,0
118,-134,0,35,0,0
119,-163,0,64,0,0
120,-150,0,51,0,0
121,-148,0,49,0,0
122,-248,0,149,0,0
123,-175,0,76,0,0
124,-200,0,200,0,0
125,-181,0,82,0,0
126,-196,0,97,0,0
127,-126,0,27,0,0
128,-140,0,41,0,0
129,-148,0,49,0,0
130,-173,0,74,0,0
131,-155,0,56,0,0
132,-141,0,42,0,0
133,-200,0,200,0,0
134,-292,0,193,0,0
135,-297,0,198,0,0
136,-154,0,55,0,0
137,-215,0,116,0,0
138,-182,0,83,0,0
139,-128,0,29,0,0
140,-113,0,14,0,0
141,-177,0,78,0,0
142,-205,0,106,0,0
143,-132,0,33,0,0
144,-135,0,36,0,0
145,-162,0,63,0,0
146,-164,0,65,0,0
147,-286,0,187,0,0
148,-125,0,26,0,0
149,-275,0,176,0,0
150,-160,0,61,0,0
151,-203,0,104,0,0
152,-153,0,54,0,0
153,-246,0,147,0,0
154,-130,0,31,0,0
155,-138,0,39,0,0
156,-121,0,22,0,0
157,-113,0,14,0,0
158,-286,0,187,0,0
159,-116,0,17,0,0
160,-136,0,37,0,0
161,-151,0,52,0,0
162,-132,0,33,0,0
163,-126,0,27,0,0
164,-156,0,57,0,0
165,-195,0,96,0,0
166,-136,0,37,0,0
167,-200,0,200,0,0
168,-110,0,11,0,0
169,-110,0,11,0,0
170,-125,0,26,0,0
171,-134,0,35,0,0
172,-235,0,136,0,0
173,-103,0,4,0,0
174,-141,0,42,0,0
175,-117,0,18,0,0
176,-134,0,35,0,0
177,-145,0,46,0,0
178,-164,0,65,0,0
179,-150,0,51,0,0
180,-256,0,157,0,0
181,-192,0,93,0,0
182,-125,0,26,0,0
183,-109,0,10,0,0
184,-200,0,200,0,0
185,-117,0,18,0,0
186,-209,0,110,0,0
187,-277,0,178,0,0
188,-200,0,200,0,0
189,-200,0,200,0,0
190,-150,0,51,0,0
191,-160,0,61,0,0
192,-120,0,21,0,0
193,-144,0,45,0,0
194,-226,0,127,0,0
195,-141,0,42,0,0
196,-229,0,130,0,0
197,-238,0,139,0,0
198,-200,0,200,0,0
199,-136,0,37,0,0
200,-239,0,140,0,0
201,-138,0,39,0,0
202,-208,0,109,0,0
203,-222,0,123,0,0
204,-233,0,134,0,0
205,-114,0,15,0,0
206,-132,0,33,0,0
207,-107,0,8,0,0
208,-157,0,58,0,0
209,-106,0,7,0,0
210,-125,0,26,0,0
211,-210,0,111,0,0
212,-106,0,7,0,0
213,-130,0,31,0,0
214,-126,0,27,0,0
215,-200,0,200,0,0
216,-184,0,85,0,0
217,-200,0,200,0,0
218,-116,0,17,0,0
219,-200,0,200,0,0
220,-248,0,149,0,0
221,-232,0,133,0,0
222,-146,0,47,0,0
223,-200,0,200,0,0
224,-135,0,36,0,0
225,-200,0,200,0,0
226,-200,0,200,0,0
227,-230,0,131,0,0
228,-155,0,56,0,0
229,-197,0,98,0,0
230,-196,0,97,0,0
231,-200,0,200,0,0
232,-163,0,64,0,0
233,-172,0,73,0,0
234,-109,0,10,0,0
235,-166,0,67,0,0
236,-200,0,200,0,0
237,-120,0,21,0,0
238,-186,0,87,0,0
239,-200,0,200,0,0
240,-167,0,68,0,0
241,-122,0,23,0,0
242,-282,0,183,0,0
243,-146,0,47,0,0
244,-255,0,156,0,0
245,-194,0,95,0,0
246,-186,0,87,0,0
247,-200,0,200,0,0
248,-126,0,27,0,0
249,-110,0,11,0,0
250,-122,0,23,0,0
251,-239,0,140,0,0
252,-161,0,62,0,0
253,-200,0,200,0,0
254,-219,0,120,0,0
255,-184,0,85,0,0
256,-109,0,10,0,0
257,-200,0,200,0,0
258,-135,0,36,0,0
259,-252,0,153,0,0
260,-134,0,35,0,0
261,-125,0,26,0,0
262,-113,0,14,0,0
263,-246,0,147,0,0
264,-237,0,138,0,0
265,-200,0,200,0,0
266,-200,0,200,0,0
267,-206,0,107,0,0
268,-202,0,103,0,0
269,-200,0,200,0,0
270,-266,0,167,0,0
271,-200,0,200,0,0
272,-156,0,57,0,0
273,-193,0,94,0,0
274,-252,0,153,0,0
275,-152,0,53,0,0
276,-279,0,180,0,0
277,-106,0,7,0,0
278,-200,0,200,0,0
279,-118,0,19,0,0
