episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-138,0,39,0,0
1,-106,0,7,0,0
2,-123,0,24,0,0
3,-101,0,2,0,0
4,-115,0,16,0,0
5,-108,0,9,0,0
6,-100,0,100,0,0
7,-101,0,2,0,0
8,-113,0,14,0,0
9,-108,0,9,0,0
10,-100,0,100,0,0
11,-110,0,11,0,0
12,-162,0,63,0,0
13,-100,0,100,0,0
14,-134,0,35,0,0
15,-110,0,11,0,0
16,-100,0,100,0,0
17,-160,0,61,0,0
18,-172,0,73,0,0
19,-109,0,10,0,0
20,-105,0,6,0,0
21,-107,0,8,0,0
22,401,1,100,0,0
23,-136,0,37,0,0
24,-111,0,12,0,0
25,-152,0,53,0,0
26,-103,0,4,0,0
27,-148,0,49,0,0
28,-127,0,28,0,0
29,-144,0,45,0,0
30,-123,0,24,0,0
31,-102,0,3,0,0
32,-111,0,12,0,0
33,401,1,100,0,0
34,-122,0,23,0,0
35,-113,0,14,0,0
36,-126,0,27,0,0
37,360,1,42,0,0
38,-133,0,34,0,0
39,-101,0,2,0,0
40,-168,0,69,0,0
41,-117,0,18,0,0
42,-107,0,8,0,0
43,-196,0,97,0,0
44,-100,0,100,0,0
45,-108,0,9,0,0
46,-165,0,66,0,0
47,-123,0,24,0,0
48,-101,0,2,0,0
49,-188,0,89,0,0
50,-134,0,35,0,0
51,-113,0,14,0,0
52,-122,0,23,0,0
53,-114,0,15,0,0
54,-122,0,23,0,0
55,-128,0,29,0,0
56,-119,0,20,0,0
57,-122,0,23,0,0
58,-122,0,23,0,0
59,-129,0,30,0,0
60,-136,0,37,0,0
61,-127,0,28,0,0
62,-154,0,55,0,0
63,-107,0,8,0,0
64,-113,0,14,0,0
65,-106,0,7,0,0
66,-21,0,23,1,0
67,-105,0,6,0,0
68,401,1,100,0,0
69,-135,0,36,0,0
70,-149,0,50,0,0
71,-124,0,25,0,0
72,-104,0,5,0,0
73,-130,0,31,0,0
74,-128,0,29,0,0
75,-103,0,4,0,0
76,-127,0,28,0,0
77,-114,0,15,0,0
78,-109,0,10,0,0
79,-104,0,5,0,0
80,-136,0,37,0,0
81,-135,0,36,0,0
82,-106,0,7,0,0
83,-108,0,9,0,0
84,-127,0,28,0,0
85,-123,0,24,0,0
86,-128,0,29,0,0
87,-161,0,62,0,0
88,-114,0,15,0,0
89,380,1,22,0,0
90,-107,0,8,0,0
91,-102,0,3,0,0
92,-110,0,11,0,0
93,-128,0,29,0,0
94,345,1,57,0,0
95,-145,0,46,0,0
96,-137,0,38,0,0
97,-151,0,52,0,0
98,-103,0,4,0,0
99,-100,0,100,0,0
100,401,1,100,0,0
101,-123,0,24,0,0
102,-48,0,50,1,0
103,-117,0,18,0,0
104,-136,0,37,0,0
105,-130,0,31,0,0
106,-133,0,34,0,0
107,-147,0,48,0,0
108,-23,0,25,1,0
109,-195,0,96,0,0
110,-133,0,34,0,0
111,-108,0,9,0,0
112,-118,0,19,0,0
113,-100,0,100,0,0
114,-139,0,40,0,0
115,-159,0,60,0,0
116,-11,0,13,1,0
117,-108,0,9,0,0
118,-151,0,52,0,0
119,-128,0,29,0,0
120,-110,0,11,0,0
121,-16,0,18,1,0
122,-126,0,27,0,0
123,-121,0,22,0,0
124,-130,0,31,0,0
125,-106,0,7,0,0
126,362,1,40,0,0
127,-139,0,40,0,0
128,-100,0,100,0,0
129,-145,0,46,0,0
130,-129,0,30,0,0
131,-129,0,30,0,0
132,-108,0,9,0,0
133,-129,0,30,0,0
134,-117,0,18,0,0
135,-123,0,24,0,0
136,-26,0,28,1,0
137,-112,0,13,0,0
138,-104,0,5,0,0
139,-173,0,74,0,0
140,-154,0,55,0,0
141,-105,0,6,0,0
142,-119,0,20,0,0
143,-135,0,36,0,0
144,-114,0,15,0,0
145,-125,0,26,0,0
146,-131,0,32,0,0
147,-118,0,19,0,0
148,-129,0,30,0,0
149,-126,0,27,0,0
150,348,1,54,0,0
151,-109,0,10,0,0
152,-113,0,14,0,0
153,-135,0,36,0,0
154,-133,0,34,0,0
155,-51,0,53,1,0
156,-113,0,14,0,0
157,-197,0,98,0,0
158,-169,0,70,0,0
159,-111,0,12,0,0
160,-100,0,100,0,0
161,-168,0,69,0,0
162,-156,0,57,0,0
163,-153,0,54,0,0
164,-126,0,27,0,0
165,-112,0,13,0,0
166,-21,0,23,1,0
167,332,1,70,0,0
168,340,1,62,0,0
169,-134,0,35,0,0
170,-134,0,35,0,0
171,-122,0,23,0,0
172,-132,0,33,0,0
173,-117,0,18,0,0
174,-131,0,32,0,0
175,-132,0,33,0,0
176,-140,0,41,0,0
177,-100,0,100,0,0
178,485,1,18,1,0
179,-145,0,46,0,0
180,-168,0,69,0,0
181,313,1,89,0,0
182,-154,0,55,0,0
183,401,1,100,0,0
184,-148,0,49,0,0
185,-188,0,89,0,0
186,-127,0,28,0,0
187,-110,0,11,0,0
188,-140,0,41,0,0
189,-158,0,59,0,0
190,-137,0,38,0,0
191,-144,0,45,0,0
192,311,1,91,0,0
193,-182,0,83,0,0
194,-157,0,58,0,0
195,-32,0,34,1,0
196,-120,0,21,0,0
197,-107,0,8,0,0
198,-108,0,9,0,0
199,-162,0,63,0,0
200,355,1,47,0,0
201,365,1,37,0,0
202,-114,0,15,0,0
203,-118,0,19,0,0
204,-105,0,6,0,0
205,-114,0,15,0,0
206,-106,0,7,0,0
207,-180,0,81,0,0
208,-116,0,17,0,0
209,-131,0,32,0,0
210,318,1,84,0,0
211,-128,0,29,0,0
212,-130,0,31,0,0
213,-138,0,39,0,0
214,-110,0,11,0,0
215,-117,0,18,0,0
216,-111,0,12,0,0
217,-126,0,27,0,0
218,348,1,54,0,0
219,-111,0,12,0,0
220,401,1,100,0,0
221,-107,0,8,0,0
222,368,1,34,0,0
223,-111,0,12,0,0
224,-135,0,36,0,0
225,325,1,77,0,0
226,-116,0,17,0,0
227,-119,0,20,0,0
228,401,1,100,0,0
229,401,1,100,0,0
230,1,0,100,1,0
231,401,1,100,0,0
232,363,1,39,0,0
233,-116,0,17,0,0
234,401,1,100,0,0
235,351,1,51,0,0
236,326,1,76,0,0
237,352,1,50,0,0
238,378,1,24,0,0
239,353,1,49,0,0
240,-105,0,6,0,0
241,-121,0,22,0,0
242,-125,0,26,0,0
243,401,1,100,0,0
244,365,1,37,0,0
245,354,1,48,0,0
246,-110,0,11,0,0
247,464,1,39,1,0
248,1,0,100,1,0
249,375,1,27,0,0
250,-111,0,12,0,0
251,344,1,58,0,0
252,344,1,58,0,0
253,384,1,18,0,0
254,401,1,100,0,0
255,-47,0,49,1,0
256,502,1,100,1,0
257,427,1,76,1,0
258,-174,0,75,0,0
259,-105,0,6,0,0
260,-130,0,31,0,0
261,-115,0,16,0,0
262,-113,0,14,0,0
263,367,1,35,0,0
264,484,1,19,1,0
265,368,1,34,0,0
266,-9,0,11,1,0
267,-108,0,9,0,0
268,-111,0,12,0,0
269,-123,0,24,0,0
270,-106,0,7,0,0
271,-128,0,29,0,0
272,381,1,21,0,0
273,373,1,29,0,0
274,-15,0,17,1,0
275,336,1,66,0,0
276,401,1,100,0,0
277,353,1,49,0,0
278,1,0,100,1,0
279,-103,0,4,0,0
280,1,0,100,1,0
281,1,0,100,1,0
282,-5,0,7,1,0
283,-11,0,13,1,0
284,384,1,18,0,0
285,368,1,34,0,0
286,438,1,65,1,0
287,-10,0,12,1,0
288,1,0,100,1,0
289,1,0,100,1,0
290,-48,0,50,1,0
291,358,1,44,0,0
292,-78,0,80,1,0
293,-6,0,8,1,0
294,1,0,100,1,0
295,-74,0,76,1,0
296,303,1,99,0,0
297,-125,0,26,0,0
298,-53,0,55,1,0
299,377,1,25,0,0
300,373,1,29,0,0
301,364,1,38,0,0
302,-141,0,42,0,0
303,1,0,100,1,0
304,379,1,23,0,0
305,-19,0,21,1,0
306,341,1,61,0,0
307,502,1,100,1,0
308,-31,0,33,1,0
309,1,0,100,1,0
310,-23,0,25,1,0
311,448,1,55,1,0
312,404,1,99,1,0
313,-7,0,9,1,0
314,452,1,51,1,0
315,-6,0,8,1,0
316,-7,0,9,1,0
317,472,1,31,1,0
318,381,1,21,0,0
319,-14,0,16,1,0
320,-100,0,100,0,0
321,426,1,77,1,0
322,-75,0,77,1,0
323,-9,0,11,1,0
324,401,1,100,0,0
325,-6,0,8,1,0
326,358,1,44,0,0
327,382,1,20,0,0
328,-22,0,24,1,0
329,-7,0,9,1,0
330,-8,0,10,1,0
331,339,1,63,0,0
332,420,1,83,1,0
333,450,1,53,1,0
334,327,1,75,0,0
335,328,1,74,0,0
336,335,1,67,0,0
337,-33,0,35,1,0
338,435,1,68,1,0
339,410,1,93,1,0
340,456,1,47,1,0
341,384,1,18,0,0
342,469,1,34,1,0
343,478,1,25,1,0
344,379,1,23,0,0
345,502,1,100,1,0
346,464,1,39,1,0
347,502,1,100,1,0
348,349,1,53,0,0
349,378,1,24,0,0
350,463,1,40,1,0
351,502,1,100,1,0
352,502,1,100,1,0
353,502,1,100,1,0
354,502,1,100,1,0
355,-11,0,13,1,0
356,502,1,100,1,0
357,-103,0,4,0,0
358,502,1,100,1,0
359,502,1,100,1,0
360,502,1,100,1,0
361,347,1,55,0,0
362,502,1,100,1,0
363,491,1,12,1,0
364,420,1,83,1,0
365,502,1,100,1,0
366,442,1,61,1,0
367,401,1,100,0,0
368,502,1,100,1,0
369,482,1,21,1,0
370,502,1,100,1,0
371,467,1,36,1,0
372,448,1,55,1,0
373,401,1,100,0,0
374,502,1,100,1,0
375,502,1,100,1,0
376,502,1,100,1,0
377,502,1,100,1,0
378,420,1,83,1,0
379,502,1,100,1,0
380,502,1,100,1,0
381,502,1,100,1,0
382,442,1,61,1,0
383,491,1,12,1,0
384,457,1,46,1,0
385,502,1,100,1,0
386,475,1,28,1,0
387,502,1,100,1,0
388,502,1,100,1,0
389,484,1,19,1,0
390,401,1,100,0,0
391,488,1,15,1,0
392,502,1,100,1,0
393,502,1,100,1,0
394,429,1,74,1,0
395,458,1,45,1,0
396,446,1,57,1,0
397,490,1,13,1,0
398,502,1,100,1,0
399,502,1,100,1,0
400,416,1,87,1,0
401,440,1,63,1,0
402,-111,0,12,0,0
403,423,1,80,1,0
404,502,1,100,1,0
405,502,1,100,1,0
406,468,1,35,1,0
407,456,1,47,1,0
408,502,1,100,1,0
409,502,1,100,1,0
410,486,1,17,1,0
411,502,1,100,1,0
412,487,1,16,1,0
413,449,1,54,1,0
414,502,1,100,1,0
415,490,1,13,1,0
416,502,1,100,1,0
417,502,1,100,1,0
418,502,1,100,1,0
419,434,1,69,1,0
420,455,1,48,1,0
421,502,1,100,1,0
422,502,1,100,1,0
423,-103,0,4,0,0
424,401,1,100,0,0
425,447,1,56,1,0
426,502,1,100,1,0
427,412,1,91,1,0
428,502,1,100,1,0
429,441,1,62,1,0
430,421,1,82,1,0
431,433,1,70,1,0
432,435,1,68,1,0
433,502,1,100,1,0
434,464,1,39,1,0
435,502,1,100,1,0
436,303,1,99,0,0
437,502,1,100,1,0
